zip_code,HUD Area Code,HUD Metro Fair Market Rent Area Name,city,state,0BR,0BR_90,0BR_110,1BR,1BR_90,1BR_110,2BR,2BR_90,2BR_110,3BR,3BR_90,3BR_110,4BR,4BR_90,4BR_110
19901,METRO20100M20100,"Dover, DE MSA",Dover,DE,$1130,$1017,$1243,$1130,$1017,$1243,$1390,$1251,$1529,$1960,$1764,$2156,$2190,$1971,$2409
19902,METRO20100M20100,"Dover, DE MSA",Dover,DE,$1130,$1017,$1243,$1130,$1017,$1243,$1390,$1251,$1529,$1960,$1764,$2156,$2190,$1971,$2409
19903,METRO20100M20100,"Dover, DE MSA",Dover,DE,$1110,$999,$1221,$1120,$1008,$1232,$1370,$1233,$1507,$1930,$1737,$2123,$2160,$1944,$2376
19904,METRO20100M20100,"Dover, DE MSA",Dover,DE,$1100,$990,$1210,$1100,$990,$1210,$1350,$1215,$1485,$1900,$1710,$2090,$2120,$1908,$2332
19930,METRO41540N10005,"Sussex County, DE HUD Metro FMR Area",Sussex County,DE,$1050,$945,$1155,$1140,$1026,$1254,$1500,$1350,$1650,$1910,$1719,$2101,$2350,$2115,$2585
19931,METRO41540N10005,"Sussex County, DE HUD Metro FMR Area",Sussex County,DE,$770,$693,$847,$840,$756,$924,$1090,$981,$1199,$1400,$1260,$1540,$1710,$1539,$1881
19933,METRO41540N10005,"Sussex County, DE HUD Metro FMR Area",Sussex County,DE,$710,$639,$781,$780,$702,$858,$1020,$918,$1122,$1300,$1170,$1430,$1600,$1440,$1760
19934,METRO20100M20100,"Dover, DE MSA",Dover,DE,$1210,$1089,$1331,$1220,$1098,$1342,$1490,$1341,$1639,$2100,$1890,$2310,$2340,$2106,$2574
19936,METRO20100M20100,"Dover, DE MSA",Dover,DE,$900,$810,$990,$910,$819,$1001,$1110,$999,$1221,$1560,$1404,$1716,$1750,$1575,$1925
19938,METRO20100M20100,"Dover, DE MSA",Dover,DE,$1270,$1143,$1397,$1290,$1161,$1419,$1580,$1422,$1738,$2190,$1971,$2409,$2450,$2205,$2695
19939,METRO41540N10005,"Sussex County, DE HUD Metro FMR Area",Sussex County,DE,$890,$801,$979,$970,$873,$1067,$1270,$1143,$1397,$1620,$1458,$1782,$1990,$1791,$2189
19940,METRO41540N10005,"Sussex County, DE HUD Metro FMR Area",Sussex County,DE,$700,$630,$770,$760,$684,$836,$1000,$900,$1100,$1300,$1170,$1430,$1590,$1431,$1749
19941,METRO41540N10005,"Sussex County, DE HUD Metro FMR Area",Sussex County,DE,$850,$765,$935,$920,$828,$1012,$1210,$1089,$1331,$1540,$1386,$1694,$1900,$1710,$2090
19943,METRO20100M20100,"Dover, DE MSA",Dover,DE,$1050,$945,$1155,$1050,$945,$1155,$1290,$1161,$1419,$1820,$1638,$2002,$2030,$1827,$2233
19944,METRO41540N10005,"Sussex County, DE HUD Metro FMR Area",Sussex County,DE,$1010,$909,$1111,$1080,$972,$1188,$1380,$1242,$1518,$1790,$1611,$1969,$2170,$1953,$2387
19945,METRO41540N10005,"Sussex County, DE HUD Metro FMR Area",Sussex County,DE,$1020,$918,$1122,$1100,$990,$1210,$1450,$1305,$1595,$1850,$1665,$2035,$2280,$2052,$2508
19946,METRO20100M20100,"Dover, DE MSA",Dover,DE,$1100,$990,$1210,$1100,$990,$1210,$1350,$1215,$1485,$1900,$1710,$2090,$2120,$1908,$2332
19947,METRO41540N10005,"Sussex County, DE HUD Metro FMR Area",Sussex County,DE,$880,$792,$968,$960,$864,$1056,$1260,$1134,$1386,$1610,$1449,$1771,$1980,$1782,$2178
19950,METRO41540N10005,"Sussex County, DE HUD Metro FMR Area",Sussex County,DE,$960,$864,$1056,$1020,$918,$1122,$1320,$1188,$1452,$1730,$1557,$1903,$2080,$1872,$2288
19951,METRO41540N10005,"Sussex County, DE HUD Metro FMR Area",Sussex County,DE,$1300,$1170,$1430,$1410,$1269,$1551,$1850,$1665,$2035,$2360,$2124,$2596,$2900,$2610,$3190
19952,METRO41540N10005,"Sussex County, DE HUD Metro FMR Area",Sussex County,DE,$1040,$936,$1144,$1040,$936,$1144,$1280,$1152,$1408,$1800,$1620,$1980,$2010,$1809,$2211
19953,METRO20100M20100,"Dover, DE MSA",Dover,DE,$1110,$999,$1221,$1120,$1008,$1232,$1370,$1233,$1507,$1930,$1737,$2123,$2160,$1944,$2376
19954,METRO20100M20100,"Dover, DE MSA",Dover,DE,$1030,$927,$1133,$1040,$936,$1144,$1270,$1143,$1397,$1790,$1611,$1969,$2000,$1800,$2200
19955,METRO20100M20100,"Dover, DE MSA",Dover,DE,$1270,$1143,$1397,$1290,$1161,$1419,$1580,$1422,$1738,$2190,$1971,$2409,$2450,$2205,$2695
19956,METRO41540N10005,"Sussex County, DE HUD Metro FMR Area",Sussex County,DE,$710,$639,$781,$770,$693,$847,$1010,$909,$1111,$1300,$1170,$1430,$1590,$1431,$1749
19958,METRO41540N10005,"Sussex County, DE HUD Metro FMR Area",Sussex County,DE,$1160,$1044,$1276,$1260,$1134,$1386,$1650,$1485,$1815,$2100,$1890,$2310,$2590,$2331,$2849
19960,METRO41540N10005,"Sussex County, DE HUD Metro FMR Area",Sussex County,DE,$900,$810,$990,$980,$882,$1078,$1290,$1161,$1419,$1650,$1485,$1815,$2020,$1818,$2222
19961,METRO20100M20100,"Dover, DE MSA",Dover,DE,$1110,$999,$1221,$1120,$1008,$1232,$1370,$1233,$1507,$1930,$1737,$2123,$2160,$1944,$2376
19962,METRO20100M20100,"Dover, DE MSA",Dover,DE,$1060,$954,$1166,$1070,$963,$1177,$1310,$1179,$1441,$1850,$1665,$2035,$2060,$1854,$2266
