zip_code,HUD Area Code,HUD Metro Fair Market Rent Area Name,city,state,keep,0BR,0BR_90,0BR_110,1BR,1BR_90,1BR_110,2BR,2BR_90,2BR_110,3BR,3BR_90,3BR_110,4BR,4BR_90,4BR_110
20001,METRO47900M47900,"Washington-Arlington-Alexandria, DC-VA-MD HUD Metro FMR Area",Washington-Arlington-Alexandria,DC-VA-MD,keep,"$2,460 ","$2,214 ","$2,706 ","$2,500 ","$2,250 ","$2,750 ","$2,840 ","$2,556 ","$3,124 ","$3,530 ","$3,177 ","$3,883 ","$4,190 ","$3,771 ","$4,609 "
20002,METRO47900M47900,"Washington-Arlington-Alexandria, DC-VA-MD HUD Metro FMR Area",Washington-Arlington-Alexandria,DC-VA-MD,keep,"$1,750 ","$1,575 ","$1,925 ","$1,780 ","$1,602 ","$1,958 ","$2,020 ","$1,818 ","$2,222 ","$2,510 ","$2,259 ","$2,761 ","$2,980 ","$2,682 ","$3,278 "
20003,METRO47900M47900,"Washington-Arlington-Alexandria, DC-VA-MD HUD Metro FMR Area",Washington-Arlington-Alexandria,DC-VA-MD,keep,"$2,660 ","$2,394 ","$2,926 ","$2,710 ","$2,439 ","$2,981 ","$3,070 ","$2,763 ","$3,377 ","$3,820 ","$3,438 ","$4,202 ","$4,530 ","$4,077 ","$4,983 "
20004,METRO47900M47900,"Washington-Arlington-Alexandria, DC-VA-MD HUD Metro FMR Area",Washington-Arlington-Alexandria,DC-VA-MD,keep,"$2,610 ","$2,349 ","$2,871 ","$2,650 ","$2,385 ","$2,915 ","$3,010 ","$2,709 ","$3,311 ","$3,740 ","$3,366 ","$4,114 ","$4,440 ","$3,996 ","$4,884 "
20005,METRO47900M47900,"Washington-Arlington-Alexandria, DC-VA-MD HUD Metro FMR Area",Washington-Arlington-Alexandria,DC-VA-MD,keep,"$2,330 ","$2,097 ","$2,563 ","$2,370 ","$2,133 ","$2,607 ","$2,690 ","$2,421 ","$2,959 ","$3,350 ","$3,015 ","$3,685 ","$3,970 ","$3,573 ","$4,367 "
20006,METRO47900M47900,"Washington-Arlington-Alexandria, DC-VA-MD HUD Metro FMR Area",Washington-Arlington-Alexandria,DC-VA-MD,keep,"$1,760 ","$1,584 ","$1,936 ","$1,790 ","$1,611 ","$1,969 ","$2,030 ","$1,827 ","$2,233 ","$2,530 ","$2,277 ","$2,783 ","$2,990 ","$2,691 ","$3,289 "
20007,METRO47900M47900,"Washington-Arlington-Alexandria, DC-VA-MD HUD Metro FMR Area",Washington-Arlington-Alexandria,DC-VA-MD,keep,"$2,050 ","$1,845 ","$2,255 ","$2,090 ","$1,881 ","$2,299 ","$2,370 ","$2,133 ","$2,607 ","$2,950 ","$2,655 ","$3,245 ","$3,490 ","$3,141 ","$3,839 "
20008,METRO47900M47900,"Washington-Arlington-Alexandria, DC-VA-MD HUD Metro FMR Area",Washington-Arlington-Alexandria,DC-VA-MD,keep,"$2,370 ","$2,133 ","$2,607 ","$2,410 ","$2,169 ","$2,651 ","$2,730 ","$2,457 ","$3,003 ","$3,400 ","$3,060 ","$3,740 ","$4,030 ","$3,627 ","$4,433 "
20009,METRO47900M47900,"Washington-Arlington-Alexandria, DC-VA-MD HUD Metro FMR Area",Washington-Arlington-Alexandria,DC-VA-MD,keep,"$2,660 ","$2,394 ","$2,926 ","$2,710 ","$2,439 ","$2,981 ","$3,070 ","$2,763 ","$3,377 ","$3,820 ","$3,438 ","$4,202 ","$4,530 ","$4,077 ","$4,983 "
20010,METRO47900M47900,"Washington-Arlington-Alexandria, DC-VA-MD HUD Metro FMR Area",Washington-Arlington-Alexandria,DC-VA-MD,keep,"$1,990 ","$1,791 ","$2,189 ","$2,030 ","$1,827 ","$2,233 ","$2,300 ","$2,070 ","$2,530 ","$2,860 ","$2,574 ","$3,146 ","$3,390 ","$3,051 ","$3,729 "
20011,METRO47900M47900,"Washington-Arlington-Alexandria, DC-VA-MD HUD Metro FMR Area",Washington-Arlington-Alexandria,DC-VA-MD,keep,"$1,470 ","$1,323 ","$1,617 ","$1,500 ","$1,350 ","$1,650 ","$1,700 ","$1,530 ","$1,870 ","$2,110 ","$1,899 ","$2,321 ","$2,510 ","$2,259 ","$2,761 "
20012,METRO47900M47900,"Washington-Arlington-Alexandria, DC-VA-MD HUD Metro FMR Area",Washington-Arlington-Alexandria,DC-VA-MD,keep,"$1,420 ","$1,278 ","$1,562 ","$1,450 ","$1,305 ","$1,595 ","$1,640 ","$1,476 ","$1,804 ","$2,040 ","$1,836 ","$2,244 ","$2,420 ","$2,178 ","$2,662 "
